,time,lat,lon,elevation,watts,bpm,rpm,lat_prev,lon_prev,elevation_prev,dist,elevation_chg,dist_3d,watts_10s_rolling,watts_30s_rolling,dist_cumulative,watts-kg
742,2020-10-13T18:58:38Z,-11.660262,166.985093,14.2,229,144,87,-11.660179,166.985169,14.0,0.012396663419073665,-0.1999999999999993,0.20038382485601355,231.6,231.93333333333334,9.396922286347431,3.523076923076923
743,2020-10-13T18:58:39Z,-11.660328,166.985,14.0,235,144,87,-11.660262,166.985093,14.2,0.012507200882575571,0.1999999999999993,0.20039069358110626,232.3,232.06666666666666,9.409429487230007,3.6153846153846154
744,2020-10-13T18:58:40Z,-11.660358,166.984891,13.8,241,144,86,-11.660328,166.985,14.0,0.012329966152322137,0.1999999999999993,0.20037970971462438,233.7,232.73333333333332,9.421759453382329,3.707692307692308
745,2020-10-13T18:58:41Z,-11.66037,166.984779,13.8,236,144,87,-11.660358,166.984891,13.8,0.012269608900461818,0.0,0.012269608900461818,234.3,232.93333333333334,9.434029062282791,3.6307692307692307
746,2020-10-13T18:58:42Z,-11.660372,166.984661,13.6,232,144,88,-11.66037,166.984779,13.8,0.012852163063867904,0.20000000000000107,0.2004125198070736,233.9,232.73333333333332,9.44688122534666,3.5692307692307694
747,2020-10-13T18:58:43Z,-11.660376,166.984542,13.4,216,145,88,-11.660372,166.984661,13.6,0.012966769591425537,0.1999999999999993,0.2004199019898893,232.7,232.6,9.459847994938086,3.3230769230769233
748,2020-10-13T18:58:44Z,-11.660393,166.984429,13.2,221,145,88,-11.660376,166.984542,13.4,0.012450078270769487,0.20000000000000107,0.20038713643582193,231.2,232.83333333333334,9.472298073208854,3.4
749,2020-10-13T18:58:45Z,-11.660448,166.984328,13.0,212,145,87,-11.660393,166.984429,13.2,0.012584857386597405,0.1999999999999993,0.20039555542835952,229.2,232.16666666666666,9.484882930595452,3.2615384615384615
750,2020-10-13T18:58:46Z,-11.660548,166.984264,13.0,212,145,89,-11.660448,166.984328,13.0,0.013123224907379672,0.0,0.013123224907379672,226.8,231.7,9.498006155502832,3.2615384615384615
751,2020-10-13T18:58:47Z,-11.660667,166.984241,12.8,216,145,89,-11.660548,166.984264,13.0,0.013467184232903898,0.1999999999999993,0.20045289983226156,225.0,230.9,9.511473339735735,3.3230769230769233
752,2020-10-13T18:58:48Z,-11.66079,166.984243,12.8,224,145,89,-11.660667,166.984241,12.8,0.013678728948376693,0.0,0.013678728948376693,224.5,230.63333333333333,9.525152068684111,3.4461538461538463
753,2020-10-13T18:58:49Z,-11.660906,166.984257,12.8,220,146,89,-11.66079,166.984243,12.8,0.012988419812502882,0.0,0.012988419812502882,223.0,230.3,9.538140488496614,3.3846153846153846
754,2020-10-13T18:58:50Z,-11.661022,166.984267,12.8,222,146,88,-11.660906,166.984257,12.8,0.012944518573593258,0.0,0.012944518573593258,221.1,230.06666666666666,9.551085007070208,3.4153846153846152
755,2020-10-13T18:58:51Z,-11.661132,166.98428,12.8,222,146,88,-11.661022,166.984267,12.8,0.012313114692058733,0.0,0.012313114692058733,219.7,230.1,9.563398121762267,3.4153846153846152
756,2020-10-13T18:58:52Z,-11.661249,166.984281,12.8,225,146,88,-11.661132,166.98428,12.8,0.013010280158386433,0.0,0.013010280158386433,219.0,229.56666666666666,9.576408401920654,3.4615384615384617
757,2020-10-13T18:58:53Z,-11.661364,166.984267,12.6,225,146,88,-11.661249,166.984281,12.8,0.012877999753470221,0.20000000000000107,0.20041417833489428,219.9,228.76666666666668,9.589286401674125,3.4615384615384617
758,2020-10-13T18:58:54Z,-11.661484,166.984238,12.6,233,146,89,-11.661364,166.984267,12.6,0.013712044366863447,0.0,0.013712044366863447,221.1,228.6,9.602998446040989,3.5846153846153848
759,2020-10-13T18:58:55Z,-11.661595,166.984199,12.6,236,146,88,-11.661484,166.984238,12.6,0.013052927681339897,0.0,0.013052927681339897,223.5,228.53333333333333,9.616051373722328,3.6307692307692307
760,2020-10-13T18:58:56Z,-11.661693,166.984136,12.8,232,146,88,-11.661595,166.984199,12.6,0.012876965285731035,-0.20000000000000107,0.2004141118658323,225.5,228.6,9.62892833900806,3.5692307692307694
761,2020-10-13T18:58:57Z,-11.661781,166.984058,12.8,222,146,87,-11.661693,166.984136,12.8,0.012957648478032765,0.0,0.012957648478032765,226.1,227.93333333333334,9.641885987486091,3.4153846153846152
762,2020-10-13T18:58:58Z,-11.661854,166.983968,12.8,218,146,87,-11.661781,166.984058,12.8,0.012725909777632202,0.0,0.012725909777632202,225.5,227.2,9.654611897263724,3.353846153846154
763,2020-10-13T18:58:59Z,-11.661922,166.983874,12.6,225,146,88,-11.661854,166.983968,12.8,0.012726358591607506,0.20000000000000107,0.20040449147412492,226.0,227.1,9.66733825585533,3.4615384615384617
764,2020-10-13T18:59:00Z,-11.661988,166.983779,12.6,216,147,88,-11.661922,166.983874,12.6,0.012684158873699876,0.0,0.012684158873699876,225.4,226.73333333333332,9.68002241472903,3.3230769230769233
765,2020-10-13T18:59:01Z,-11.66205,166.983673,12.6,221,146,86,-11.661988,166.983779,12.6,0.013445365460172696,0.0,0.013445365460172696,225.3,226.43333333333334,9.693467780189204,3.4
766,2020-10-13T18:59:02Z,-11.6621,166.983571,12.6,220,146,87,-11.66205,166.983673,12.6,0.012421486084321264,0.0,0.012421486084321264,224.8,225.9,9.705889266273525,3.3846153846153846
767,2020-10-13T18:59:03Z,-11.662149,166.98346,12.6,225,146,86,-11.6621,166.983571,12.6,0.013259078327844212,0.0,0.013259078327844212,224.8,225.8,9.719148344601368,3.4615384615384617
768,2020-10-13T18:59:04Z,-11.662195,166.983354,12.6,228,146,89,-11.662149,166.98346,12.6,0.012625851095097656,0.0,0.012625851095097656,224.3,225.53333333333333,9.731774195696467,3.5076923076923077
769,2020-10-13T18:59:05Z,-11.66223,166.983243,12.6,215,146,85,-11.662195,166.983354,12.6,0.012698921006183507,0.0,0.012698921006183507,222.2,224.96666666666667,9.74447311670265,3.3076923076923075
770,2020-10-13T18:59:06Z,-11.662255,166.983137,12.8,222,146,87,-11.66223,166.983243,12.6,0.011873365506012722,-0.20000000000000107,0.20035213202868543,221.2,224.5,9.756346482208663,3.4153846153846152
771,2020-10-13T18:59:07Z,-11.662276,166.983019,12.8,223,146,88,-11.662255,166.983137,12.8,0.013060591899453293,0.0,0.013060591899453293,221.3,224.13333333333333,9.769407074108116,3.4307692307692306
772,2020-10-13T18:59:08Z,-11.662291,166.982908,12.8,222,145,86,-11.662276,166.983019,12.8,0.0122023839519175,0.0,0.0122023839519175,221.7,223.9,9.781609458060034,3.4153846153846152
773,2020-10-13T18:59:09Z,-11.662307,166.982789,12.6,222,145,86,-11.662291,166.982908,12.8,0.013080605021285009,0.20000000000000107,0.200427299107989,221.4,223.46666666666667,9.794690063081319,3.4153846153846152
774,2020-10-13T18:59:10Z,-11.662317,166.982678,12.6,239,145,90,-11.662307,166.982789,12.6,0.01213888795866454,0.0,0.01213888795866454,223.7,223.4,9.806828951039984,3.6769230769230767
775,2020-10-13T18:59:11Z,-11.662321,166.982558,12.6,239,145,88,-11.662317,166.982678,12.6,0.013075514865487688,0.0,0.013075514865487688,225.5,223.5,9.819904465905472,3.6769230769230767
776,2020-10-13T18:59:12Z,-11.662319,166.982439,12.6,231,145,87,-11.662321,166.982558,12.6,0.012960956259284888,0.0,0.012960956259284888,226.6,223.46666666666667,9.832865422164756,3.5538461538461537
777,2020-10-13T18:59:13Z,-11.662307,166.982326,12.6,232,145,88,-11.662319,166.982439,12.6,0.012377783115322337,0.0,0.012377783115322337,227.3,224.0,9.84524320528008,3.5692307692307694
778,2020-10-13T18:59:14Z,-11.662287,166.982217,12.8,227,145,88,-11.662307,166.982326,12.6,0.012076585152128458,-0.20000000000000107,0.20036427802614176,227.2,224.2,9.857319790432207,3.4923076923076923
779,2020-10-13T18:59:15Z,-11.662254,166.982106,12.8,227,145,88,-11.662287,166.982217,12.8,0.012632536663606515,0.0,0.012632536663606515,228.4,224.7,9.869952327095813,3.4923076923076923
780,2020-10-13T18:59:16Z,-11.662206,166.982003,13.0,225,145,87,-11.662254,166.982106,12.8,0.01242179081944916,-0.1999999999999993,0.20038538092176753,228.7,225.13333333333333,9.882374117915262,3.4615384615384617
